SUBURB,POSTCODE,PSTATE,CREATED,CREATED_BY,UPDATED,UPDATED_BY
BIRCHGROVE,2041,NSW,,,,
ENMORE,2042,NSW,,,,
NEWTOWN,2042,NSW,,,,
ERSKINEVILLE,2043,NSW,,,,
ST PETERS,2044,NSW,,,,
ST PETERS DC,2044,NSW,,,,
SYDENHAM,2044,NSW,,,,
TEMPE,2044,NSW,,,,
DOBROYD POINT,2045,NSW,,,,
HABERFIELD,2045,NSW,,,,
ABBOTSFORD,2046,NSW,,,,
CANADA BAY,2046,NSW,,,,
CHISWICK,2046,NSW,,,,
FIVE DOCK,2046,NSW,,,,
RODD POINT,2046,NSW,,,,
RUSSELL LEA,2046,NSW,,,,
WAREEMBA,2046,NSW,,,,
DRUMMOYNE,2047,NSW,,,,
STANMORE,2048,NSW,,,,
WESTGATE,2048,NSW,,,,
LEWISHAM,2049,NSW,,,,
PETERSHAM,2049,NSW,,,,
CAMPERDOWN,2050,NSW,,,,
MISSENDEN ROAD,2050,NSW,,,,
UNSW SYDNEY,2052,NSW,,,,
CHATSWOOD,2057,NSW,,,,
NORTH SYDNEY,2059,NSW,,,,
LAVENDER BAY,2060,NSW,,,,
MCMAHONS POINT,2060,NSW,,,,
NORTH SYDNEY,2060,NSW,,,,
NORTH SYDNEY SHOPPINGWORLD,2060,NSW,,,,
WAVERTON,2060,NSW,,,,
KIRRIBILLI,2061,NSW,,,,
MILSONS POINT,2061,NSW,,,,
CAMMERAY,2062,NSW,,,,
NORTHBRIDGE,2063,NSW,,,,
ARTARMON,2064,NSW,,,,
CROWS NEST,2065,NSW,,,,
GORE HILL,2065,NSW,,,,
GREENWICH,2065,NSW,,,,
NAREMBURN,2065,NSW,,,,
ROYAL NORTH SHORE HOSPITAL,2065,NSW,,,,
ST LEONARDS,2065,NSW,,,,
WOLLSTONECRAFT,2065,NSW,,,,
LANE COVE,2066,NSW,,,,
LINLEY POINT,2066,NSW,,,,
LONGUEVILLE,2066,NSW,,,,
NORTHWOOD,2066,NSW,,,,
RIVERVIEW,2066,NSW,,,,
CHATSWOOD,2067,NSW,,,,
CHATSWOOD DC,2067,NSW,,,,
CHATSWOOD WEST,2067,NSW,,,,
CASTLECRAG,2068,NSW,,,,
MIDDLE COVE,2068,NSW,,,,
WILLOUGHBY,2068,NSW,,,,
CASTLE COVE,2069,NSW,,,,
ROSEVILLE,2069,NSW,,,,
EAST LINDFIELD,2070,NSW,,,,
LINDFIELD,2070,NSW,,,,
LINDFIELD WEST,2070,NSW,,,,
KILLARA,2071,NSW,,,,
GORDON,2072,NSW,,,,
PYMBLE,2073,NSW,,,,
WEST PYMBLE,2073,NSW,,,,
NORTH TURRAMURRA,2074,NSW,,,,
SOUTH TURRAMURRA,2074,NSW,,,,
TURRAMURRA,2074,NSW,,,,
WARRAWEE,2074,NSW,,,,
ST IVES,2075,NSW,,,,
NORMANHURST,2076,NSW,,,,
WAHROONGA,2076,NSW,,,,
ASQUITH,2077,NSW,,,,
HORNSBY,2077,NSW,,,,
WAITARA,2077,NSW,,,,
MOUNT COLAH,2079,NSW,,,,
MOUNT KURING-GAI,2080,NSW,,,,
BEROWRA,2081,NSW,,,,
COWAN,2081,NSW,,,,
BEROWRA HEIGHTS,2082,NSW,,,,
BEROWRA WATERS,2082,NSW,,,,
BROOKLYN,2083,NSW,,,,
DANGAR ISLAND,2083,NSW,,,,
MILSONS PASSAGE,2083,NSW,,,,
MOONEY MOONEY,2083,NSW,,,,
DUFFYS FOREST,2084,NSW,,,,
TERREY HILLS,2084,NSW,,,,
BELROSE,2085,NSW,,,,
BELROSE WEST,2085,NSW,,,,
DAVIDSON,2085,NSW,,,,
FRENCHS FOREST,2086,NSW,,,,
FRENCHS FOREST DC,2086,NSW,,,,
FORESTVILLE,2087,NSW,,,,
KILLARNEY HEIGHTS,2087,NSW,,,,
BALMORAL,2088,NSW,,,,
BEAUTY POINT,2088,NSW,,,,
CLIFTON GARDENS,2088,NSW,,,,
GEORGES HEIGHTS,2088,NSW,,,,
MOSMAN,2088,NSW,,,,
SPIT JUNCTION,2088,NSW,,,,
THE SPIT,2088,NSW,,,,
NEUTRAL BAY,2089,NSW,,,,
NEUTRAL BAY JUNCTION,2089,NSW,,,,
CREMORNE,2090,NSW,,,,
CREMORNE JUNCTION,2090,NSW,,,,
SEAFORTH,2092,NSW,,,,
BALGOWLAH,2093,NSW,,,,
BALGOWLAH DC,2093,NSW,,,,
CLONTARF,2093,NSW,,,,
MANLY VALE,2093,NSW,,,,
FAIRLIGHT,2094,NSW,,,,
MANLY,2095,NSW,,,,
CURL CURL,2096,NSW,,,,
HARBORD,2096,NSW,,,,
HARBORD WEST,2096,NSW,,,,
QUEENSCLIFF,2096,NSW,,,,
COLLAROY,2097,NSW,,,,
COLLAROY BEACH,2097,NSW,,,,
COLLAROY PLATEAU,2097,NSW,,,,
WHEELER HEIGHTS,2097,NSW,,,,
CROMER,2099,NSW,,,,
DEE WHY,2099,NSW,,,,
NARRAWEENA,2099,NSW,,,,
NORTH CURL CURL,2099,NSW,,,,
WINGALA,2099,NSW,,,,
ALLAMBIE,2100,NSW,,,,
ALLAMBIE HEIGHTS,2100,NSW,,,,
BEACON HILL,2100,NSW,,,,
BROOKVALE,2100,NSW,,,,
BROOKVALE DC,2100,NSW,,,,
NORTH MANLY,2100,NSW,,,,
OXFORD FALLS,2100,NSW,,,,
WARRINGAH MALL,2100,NSW,,,,
ELANORA HEIGHTS,2101,NSW,,,,
INGLESIDE,2101,NSW,,,,
NARRABEEN,2101,NSW,,,,
WARRIEWOOD,2102,NSW,,,,
WARRIEWOOD DC,2102,NSW,,,,
WARRIEWOOD SHOPPING SQUARE,2102,NSW,,,,
MONA VALE,2103,NSW,,,,
BAYVIEW,2104,NSW,,,,
CHURCH POINT,2105,NSW,,,,
ELVINA BAY,2105,NSW,,,,
LOVETT BAY,2105,NSW,,,,
SCOTLAND ISLAND,2105,NSW,,,,
NEWPORT,2106,NSW,,,,
NEWPORT BEACH,2106,NSW,,,,
AVALON BEACH,2107,NSW,,,,
BILGOLA,2107,NSW,,,,
CAREEL BAY,2107,NSW,,,,
WHALE BEACH,2107,NSW,,,,
PALM BEACH,2108,NSW,,,,
THE BASIN,2108,NSW,,,,
MACQUARIE UNIVERSITY,2109,NSW,,,,
HUNTERS HILL,2110,NSW,,,,
WOOLWICH,2110,NSW,,,,
GLADESVILLE,2111,NSW,,,,
HENLEY,2111,NSW,,,,
HUNTLEYS POINT,2111,NSW,,,,
MONASH PARK,2111,NSW,,,,
TARBAN,2111,NSW,,,,
TENNYSON POINT,2111,NSW,,,,
DENISTONE EAST,2112,NSW,,,,
PUTNEY,2112,NSW,,,,
RYDE,2112,NSW,,,,
BLENHEIM ROAD,2113,NSW,,,,
EAST RYDE,2113,NSW,,,,
MACQUARIE CENTRE,2113,NSW,,,,
MACQUARIE PARK,2113,NSW,,,,
NORTH RYDE,2113,NSW,,,,
DENISTONE,2114,NSW,,,,
DENISTONE WEST,2114,NSW,,,,
MEADOWBANK,2114,NSW,,,,
MELROSE PARK,2114,NSW,,,,
WEST RYDE,2114,NSW,,,,
ERMINGTON,2115,NSW,,,,
RYDALMERE,2116,NSW,,,,
DUNDAS,2117,NSW,,,,
OATLANDS,2117,NSW,,,,
TELOPEA,2117,NSW,,,,
CARLINGFORD,2118,NSW,,,,
CARLINGFORD COURT,2118,NSW,,,,
KINGSDENE,2118,NSW,,,,
BEECROFT,2119,NSW,,,,
CHELTENHAM,2119,NSW,,,,
PENNANT HILLS,2120,NSW,,,,
THORNLEIGH,2120,NSW,,,,
WESTLEIGH,2120,NSW,,,,
EPPING,2121,NSW,,,,
EASTWOOD,2122,NSW,,,,
MARSFIELD,2122,NSW,,,,
PARRAMATTA,2123,NSW,,,,
PARRAMATTA,2124,NSW,,,,
WEST PENNANT HILLS,2125,NSW,,,,
CHERRYBROOK,2126,NSW,,,,
HOMEBUSH BAY,2127,NSW,,,,
NEWINGTON,2127,NSW,,,,
SILVERWATER,2128,NSW,,,,
SYDNEY MARKETS,2129,NSW,,,,
SUMMER HILL,2130,NSW,,,,
ASHFIELD,2131,NSW,,,,
CROYDON,2132,NSW,,,,
CROYDON PARK,2133,NSW,,,,
ENFIELD SOUTH,2133,NSW,,,,
BURWOOD,2134,NSW,,,,
STRATHFIELD,2135,NSW,,,,
BURWOOD HEIGHTS,2136,NSW,,,,
ENFIELD,2136,NSW,,,,
STRATHFIELD SOUTH,2136,NSW,,,,
CABARITA,2137,NSW,,,,
CONCORD,2137,NSW,,,,
MORTLAKE,2137,NSW,,,,
NORTH STRATHFIELD,2137,NSW,,,,
CONCORD WEST,2138,NSW,,,,
RHODES,2138,NSW,,,,
CONCORD REPATRIATION HOSPITAL,2139,NSW,,,,
HOMEBUSH,2140,NSW,,,,
STRATHFIELD WEST,2140,NSW,,,,
BERALA,2141,NSW,,,,
LIDCOMBE,2141,NSW,,,,
BLAXCELL,2142,NSW,,,,
CAMELLIA,2142,NSW,,,,
CLYDE,2142,NSW,,,,
GRANVILLE,2142,NSW,,,,
HOLROYD,2142,NSW,,,,
ROSEHILL,2142,NSW,,,,
BIRRONG,2143,NSW,,,,
POTTS HILL,2143,NSW,,,,
REGENTS PARK,2143,NSW,,,,
AUBURN,2144,NSW,,,,
GIRRAWEEN,2145,NSW,,,,
GREYSTANES,2145,NSW,,,,
MAYS HILL,2145,NSW,,,,
PENDLE HILL,2145,NSW,,,,
WENTWORTHVILLE,2145,NSW,,,,
WESTMEAD,2145,NSW,,,,
OLD TOONGABBIE,2146,NSW,,,,
TOONGABBIE,2146,NSW,,,,
TOONGABBIE EAST,2146,NSW,,,,
KINGS LANGLEY,2147,NSW,,,,
LALOR PARK,2147,NSW,,,,
SEVEN HILLS,2147,NSW,,,,
SEVEN HILLS WEST,2147,NSW,,,,
BLACKTOWN,2148,NSW,,,,
BLACKTOWN DC,2148,NSW,,,,
BLACKTOWN WESTPOINT,2148,NSW,,,,
KINGS PARK,2148,NSW,,,,
MARAYONG,2148,NSW,,,,
PROSPECT,2148,NSW,,,,
HARRIS PARK,2150,NSW,,,,
PARRAMATTA,2150,NSW,,,,
PARRAMATTA DC,2150,NSW,,,,
NORTH PARRAMATTA,2151,NSW,,,,
NORTH ROCKS,2151,NSW,,,,
NORTHMEAD,2152,NSW,,,,
BAULKHAM HILLS,2153,NSW,,,,
BAULKHAM HILLS DC,2153,NSW,,,,
BELLA VISTA,2153,NSW,,,,
CHISHOLM CENTRE,2153,NSW,,,,
MODEL FARMS,2153,NSW,,,,
WINSTON HILLS,2153,NSW,,,,
CASTLE HILL,2154,NSW,,,,
KELLYVILLE,2155,NSW,,,,
KELLYVILLE RIDGE,2155,NSW,,,,
ROUSE HILL,2155,NSW,,,,
ANNANGROVE,2156,NSW,,,,
GLENHAVEN,2156,NSW,,,,
KENTHURST,2156,NSW,,,,
GLENORIE,2157,NSW,,,,
DURAL,2158,NSW,,,,
ROUND CORNER,2158,NSW,,,,
ARCADIA,2159,NSW,,,,
BERRILEE,2159,NSW,,,,
FIDDLETOWN,2159,NSW,,,,
GALSTON,2159,NSW,,,,
MERRYLANDS,2160,NSW,,,,
MERRYLANDS WEST,2160,NSW,,,,
GUILDFORD,2161,NSW,,,,
GUILDFORD WEST,2161,NSW,,,,
OLD GUILDFORD,2161,NSW,,,,
YENNORA,2161,NSW,,,,
CHESTER HILL,2162,NSW,,,,
SEFTON,2162,NSW,,,,
CARRAMAR,2163,NSW,,,,
VILLAWOOD,2163,NSW,,,,
HORSLEY PARK,2164,NSW,,,,
SMITHFIELD,2164,NSW,,,,
SMITHFIELD WEST,2164,NSW,,,,
WETHERILL PARK,2164,NSW,,,,
FAIRFIELD,2165,NSW,,,,
FAIRFIELD EAST,2165,NSW,,,,
FAIRFIELD HEIGHTS,2165,NSW,,,,
FAIRFIELD WEST,2165,NSW,,,,
CABRAMATTA,2166,NSW,,,,
CANLEY HEIGHTS,2166,NSW,,,,
CANLEY VALE,2166,NSW,,,,
LANSVALE,2166,NSW,,,,
GLENFIELD,2167,NSW,,,,
ASHCROFT,2168,NSW,,,,
BUSBY,2168,NSW,,,,
CARTWRIGHT,2168,NSW,,,,
GREEN VALLEY,2168,NSW,,,,
HECKENBERG,2168,NSW,,,,
HINCHINBROOK,2168,NSW,,,,
MILLER,2168,NSW,,,,
SADLEIR,2168,NSW,,,,
CASULA,2170,NSW,,,,
CASULA MALL,2170,NSW,,,,
CHIPPING NORTON,2170,NSW,,,,
HAMMONDVILLE,2170,NSW,,,,
LIVERPOOL,2170,NSW,,,,
LIVERPOOL BC,2170,NSW,,,,
LIVERPOOL SOUTH,2170,NSW,,,,
LURNEA,2170,NSW,,,,
MOOREBANK,2170,NSW,,,,
MOUNT PRITCHARD,2170,NSW,,,,
PRESTONS,2170,NSW,,,,
PRESTONS DC,2170,NSW,,,,
WARWICK FARM,2170,NSW,,,,
AUSTRAL,2171,NSW,,,,
BADGERYS CREEK,2171,NSW,,,,
BRINGELLY,2171,NSW,,,,
CATHERINE FIELD,2171,NSW,,,,
CECIL HILLS,2171,NSW,,,,
CECIL PARK,2171,NSW,,,,
EDMONDSON PARK,2171,NSW,,,,
HORNINGSEA PARK,2171,NSW,,,,
HOXTON PARK,2171,NSW,,,,
KEMPS CREEK,2171,NSW,,,,
LEPPINGTON,2171,NSW,,,,
PLEASURE POINT,2171,NSW,,,,
ROSSMORE,2171,NSW,,,,
SANDY POINT,2171,NSW,,,,
VOYAGER POINT,2171,NSW,,,,
WEST HOXTON,2171,NSW,,,,
HOLSWORTHY,2173,NSW,,,,
WATTLE GROVE,2173,NSW,,,,
ABBOTSBURY,2176,NSW,,,,
BOSSLEY PARK,2176,NSW,,,,
EDENSOR PARK,2176,NSW,,,,
GREENFIELD PARK,2176,NSW,,,,
PRAIRIEWOOD,2176,NSW,,,,
ST JOHNS PARK,2176,NSW,,,,
WAKELEY,2176,NSW,,,,
BONNYRIGG,2177,NSW,,,,
BONNYRIGG HEIGHTS,2177,NSW,,,,
CHULLORA,2190,NSW,,,,
GREENACRE,2190,NSW,,,,
MOUNT LEWIS,2190,NSW,,,,
BELFIELD,2191,NSW,,,,
BELMORE,2192,NSW,,,,
ASHBURY,2193,NSW,,,,
CANTERBURY,2193,NSW,,,,
HURLSTONE PARK,2193,NSW,,,,
CAMPSIE,2194,NSW,,,,
LAKEMBA,2195,NSW,,,,
LAKEMBA DC,2195,NSW,,,,
WILEY PARK,2195,NSW,,,,
PUNCHBOWL,2196,NSW,,,,
ROSELANDS,2196,NSW,,,,
BASS HILL,2197,NSW,,,,
GEORGES HALL,2198,NSW,,,,
YAGOONA,2199,NSW,,,,
YAGOONA WEST,2199,NSW,,,,
BANKSTOWN,2200,NSW,,,,
BANKSTOWN NORTH,2200,NSW,,,,
BANKSTOWN SQUARE,2200,NSW,,,,
CONDELL PARK,2200,NSW,,,,
MANAHAN,2200,NSW,,,,
MOUNT LEWIS,2200,NSW,,,,
DULWICH HILL,2203,NSW,,,,
MARRICKVILLE,2204,NSW,,,,
MARRICKVILLE METRO,2204,NSW,,,,
MARRICKVILLE SOUTH,2204,NSW,,,,
ARNCLIFFE,2205,NSW,,,,
TURRELLA,2205,NSW,,,,
CLEMTON PARK,2206,NSW,,,,
EARLWOOD,2206,NSW,,,,
UNDERCLIFFE,2206,NSW,,,,
BARDWELL PARK,2207,NSW,,,,
BARDWELL VALLEY,2207,NSW,,,,
BEXLEY,2207,NSW,,,,
BEXLEY NORTH,2207,NSW,,,,
BEXLEY SOUTH,2207,NSW,,,,
KINGSGROVE,2208,NSW,,,,
KINGSWAY WEST,2208,NSW,,,,
BEVERLY HILLS,2209,NSW,,,,
NARWEE,2209,NSW,,,,
LUGARNO,2210,NSW,,,,
PEAKHURST,2210,NSW,,,,
PEAKHURST DC,2210,NSW,,,,
PEAKHURST HEIGHTS,2210,NSW,,,,
RIVERWOOD,2210,NSW,,,,
PADSTOW,2211,NSW,,,,
REVESBY,2212,NSW,,,,
REVESBY NORTH,2212,NSW,,,,
EAST HILLS,2213,NSW,,,,
PANANIA,2213,NSW,,,,
PICNIC POINT,2213,NSW,,,,
MILPERRA,2214,NSW,,,,
SOUTHERN SUBURBS MC,2215,NSW,,,,
BANKSIA,2216,NSW,,,,
BRIGHTON-LE-SANDS,2216,NSW,,,,
KYEEMAGH,2216,NSW,,,,
ROCKDALE,2216,NSW,,,,
ROCKDALE DC,2216,NSW,,,,
BEVERLEY PARK,2217,NSW,,,,
KOGARAH,2217,NSW,,,,
KOGARAH BAY,2217,NSW,,,,
MONTEREY,2217,NSW,,,,
RAMSGATE,2217,NSW,,,,
RAMSGATE BEACH,2217,NSW,,,,
ALLAWAH,2218,NSW,,,,
CARLTON,2218,NSW,,,,
SANDRINGHAM,2219,NSW,,,,
SANS SOUCI,2219,NSW,,,,
HURSTVILLE,2220,NSW,,,,
HURSTVILLE WESTFIELD,2220,NSW,,,,
BLAKEHURST,2221,NSW,,,,
CARSS PARK,2221,NSW,,,,
CONNELLS POINT,2221,NSW,,,,
KYLE BAY,2221,NSW,,,,
SOUTH HURSTVILLE,2221,NSW,,,,
PENSHURST,2222,NSW,,,,
MORTDALE,2223,NSW,,,,
OATLEY,2223,NSW,,,,
KANGAROO POINT,2224,NSW,,,,
SYLVANIA,2224,NSW,,,,
SYLVANIA SOUTHGATE,2224,NSW,,,,
SYLVANIA WATERS,2224,NSW,,,,
OYSTER BAY,2225,NSW,,,,
BONNET BAY,2226,NSW,,,,
COMO,2226,NSW,,,,
JANNALI,2226,NSW,,,,
GYMEA,2227,NSW,,,,
MIRANDA,2228,NSW,,,,
YOWIE BAY,2228,NSW,,,,
CARINGBAH,2229,NSW,,,,
DOLANS BAY,2229,NSW,,,,
LILLI PILLI,2229,NSW,,,,
PORT HACKING,2229,NSW,,,,
TAREN POINT,2229,NSW,,,,
TAREN POINT DC,2229,NSW,,,,
BUNDEENA,2230,NSW,,,,
CRONULLA,2230,NSW,,,,
MAIANBAR,2230,NSW,,,,
WOOLOOWARE,2230,NSW,,,,
KURNELL,2231,NSW,,,,
AUDLEY,2232,NSW,,,,
GRAYS POINT,2232,NSW,,,,
KAREELA,2232,NSW,,,,
KIRRAWEE,2232,NSW,,,,
KIRRAWEE DC,2232,NSW,,,,
LOFTUS,2232,NSW,,,,
SUTHERLAND,2232,NSW,,,,
WORONORA,2232,NSW,,,,
ENGADINE,2233,NSW,,,,
HEATHCOTE,2233,NSW,,,,
WATERFALL,2233,NSW,,,,
WORONORA HEIGHTS,2233,NSW,,,,
YARRAWARRAH,2233,NSW,,,,
ALFORDS POINT,2234,NSW,,,,
BANGOR,2234,NSW,,,,
BARDEN RIDGE,2234,NSW,,,,
ILLAWONG,2234,NSW,,,,
LUCAS HEIGHTS,2234,NSW,,,,
MENAI,2234,NSW,,,,
MENAI CENTRAL,2234,NSW,,,,
CALGA,2250,NSW,,,,
EAST GOSFORD,2250,NSW,,,,
ERINA,2250,NSW,,,,
ERINA FAIR,2250,NSW,,,,
GOSFORD,2250,NSW,,,,
GOSFORD WEST,2250,NSW,,,,
KARIONG,2250,NSW,,,,
KULNURA,2250,NSW,,,,
LISAROW,2250,NSW,,,,
LOWER MANGROVE,2250,NSW,,,,
MANGROVE MOUNTAIN,2250,NSW,,,,
MATCHAM,2250,NSW,,,,
MOUNT WHITE,2250,NSW,,,,
NARARA,2250,NSW,,,,
NIAGARA PARK,2250,NSW,,,,
PEATS RIDGE,2250,NSW,,,,
POINT CLARE,2250,NSW,,,,
SOMERSBY,2250,NSW,,,,
SPRINGFIELD,2250,NSW,,,,
TASCOTT,2250,NSW,,,,
WENDOREE PARK,2250,NSW,,,,
WYOMING,2250,NSW,,,,
AVOCA BEACH,2251,NSW,,,,
BENSVILLE,2251,NSW,,,,
COPACABANA,2251,NSW,,,,
DAVISTOWN,2251,NSW,,,,
GREEN POINT,2251,NSW,,,,
KINCUMBER,2251,NSW,,,,
MACMASTERS BEACH,2251,NSW,,,,
SARATOGA,2251,NSW,,,,
YATTALUNGA,2251,NSW,,,,
BLACKWALL,2256,NSW,,,,
KOOLEWONG,2256,NSW,,,,
PATONGA,2256,NSW,,,,
PATONGA BEACH,2256,NSW,,,,
PEARL BEACH,2256,NSW,,,,
PHEGANS BAY,2256,NSW,,,,
WOY WOY,2256,NSW,,,,
BOOKER BAY,2257,NSW,,,,
DALEYS POINT,2257,NSW,,,,
EMPIRE BAY,2257,NSW,,,,
ETTALONG BEACH,2257,NSW,,,,
HARDYS BAY,2257,NSW,,,,
KILLCARE,2257,NSW,,,,
PRETTY BEACH,2257,NSW,,,,
ST HUBERTS ISLAND,2257,NSW,,,,
UMINA BEACH,2257,NSW,,,,
KANGY ANGY,2258,NSW,,,,
OURIMBAH,2258,NSW,,,,
CHAIN VALLEY BAY,2259,NSW,,,,
DOORALONG,2259,NSW,,,,
DURREN DURREN,2259,NSW,,,,
GWANDALAN,2259,NSW,,,,
JILLIBY,2259,NSW,,,,
KANWAL,2259,NSW,,,,
LAKE MUNMORAH,2259,NSW,,,,
LEMON TREE,2259,NSW,,,,
MANNERING PARK,2259,NSW,,,,
RAVENSDALE,2259,NSW,,,,
SUMMERLAND POINT,2259,NSW,,,,
TACOMA,2259,NSW,,,,
TUGGERAH,2259,NSW,,,,
TUGGERAWONG,2259,NSW,,,,
WARNERVALE,2259,NSW,,,,
WATANOBBI,2259,NSW,,,,
